,0
283,2.2109375
284,2.21875
285,2.2265625
286,2.234375
287,2.2421875
288,2.25
289,2.2578125
290,2.265625
291,2.2734375
292,2.28125
293,2.2890625
294,2.296875
295,2.3046875
296,2.3125
297,2.3203125
298,2.328125
299,2.3359375
300,2.34375
301,2.3515625
302,2.359375
303,2.3671875
304,2.375
305,2.3828125
306,2.390625
307,2.3984375
308,2.40625
309,2.4140625
310,2.421875
311,2.4296875
312,2.4375
313,2.4453125
314,2.453125
315,2.4609375
316,2.46875
317,2.4765625
318,2.484375
319,2.4921875
320,2.5
321,2.5078125
322,2.515625
323,2.5234375
324,2.53125
325,2.5390625
326,2.546875
327,2.5546875
328,2.5625
329,2.5703125
330,2.578125
331,2.5859375
332,2.59375
333,2.6015625
334,2.609375
335,2.6171875
336,2.625
337,2.6328125
338,2.640625
339,2.6484375
340,2.65625
341,2.6640625
342,2.671875
343,2.6796875
344,2.6875
345,2.6953125
346,2.703125
347,2.7109375
348,2.71875
349,2.7265625
350,2.734375
351,2.7421875
352,2.75
353,2.7578125
354,2.765625
355,2.7734375
356,2.78125
357,2.7890625
358,2.796875
359,2.8046875
360,2.8125
361,2.8203125
362,2.828125
363,2.8359375
364,2.84375
365,2.8515625
366,2.859375
367,2.8671875
368,2.875
369,2.8828125
370,2.890625
371,2.8984375
372,2.90625
373,2.9140625
374,2.921875
375,2.9296875
376,2.9375
377,2.9453125
378,2.953125
379,2.9609375
380,2.96875
381,2.9765625
382,2.984375
383,2.9921875
384,3.0
385,3.0078125
386,3.015625
387,3.0234375
388,3.03125
389,3.0390625
390,3.046875
391,3.0546875
392,3.0625
393,3.0703125
394,3.078125
395,3.0859375
396,3.09375
397,3.1015625
398,3.109375
399,3.1171875
400,3.125
401,3.1328125
402,3.140625
403,3.1484375
404,3.15625
405,3.1640625
406,3.171875
407,3.1796875
408,3.1875
409,3.1953125
410,3.203125
411,3.2109375
412,3.21875
413,3.2265625
414,3.234375
415,3.2421875
416,3.25
417,3.2578125
418,3.265625
419,3.2734375
420,3.28125
421,3.2890625
422,3.296875
423,3.3046875
424,3.3125
425,3.3203125
426,3.328125
427,3.3359375
428,3.34375
429,3.3515625
430,3.359375
431,3.3671875
432,3.375
433,3.3828125
434,3.390625
435,3.3984375
436,3.40625
437,3.4140625
438,3.421875
439,3.4296875
440,3.4375
441,3.4453125
442,3.453125
443,3.4609375
444,3.46875
445,3.4765625
446,3.484375
447,3.4921875
448,3.5
449,3.5078125
450,3.515625
451,3.5234375
452,3.53125
453,3.5390625
454,3.546875
455,3.5546875
456,3.5625
457,3.5703125
458,3.578125
459,3.5859375
460,3.59375
461,3.6015625
462,3.609375
463,3.6171875
464,3.625
465,3.6328125
